"product_name","countries_en","additives_n","pnns_groups_2","energy_100g","fat_100g","saturated.fat_100g","carbohydrates_100g","proteins_100g","sodium_100g","nutrition.score.fr_100g","nutrition.score.uk_100g"
"Cookies Milk & Hazelnut Chunk Sensations","France",4,"Biscuits and cakes",2228,30.7,14,57.3,6.5,0.31496062992126,24,24
"Fingers","UK",5,"Biscuits and cakes",2001,26.1,14.3,54.4,6.8,0.196850393700787,21,21
"Italian Dry Salame","USA",2,"Processed meat",1350,25,8.93,7.14,21.4,1.64,22,22
"Mozzarella Cheese Sorrento","USA",0,"Cheese",1260,23.3,15,3.33,20,0.7,15,20
"Marks&Spencer rich tea biscuits","France",6,"Biscuits and cakes",1910,14.5,5.7,72.1,7.4,0.28740157480315,14,14
"Ginger snaps","Other",6,"Biscuits and cakes",1854,12.4,5.8,75.2,5.7,0.275590551181102,18,18
"Custard creams","France",5,"Biscuits and cakes",2037,20.8,12.4,68.6,5,0.177165354330709,21,21
"Quadratini Bite Size Waffer Cookies - Hazelnut","USA",3,"Biscuits and cakes",2170,27.6,20.7,62.1,6.9,0.138,19,19
"Chocolate Chip","Other",3,"Biscuits and cakes",2090,23.2,8.93,67.9,5.36,0.357,19,19
"Chocolate Chippers","USA",2,"Biscuits and cakes",1890,17.6,5.13,71.5,4.81,0.288,15,15
"Biscuits à l'avoine et aux canneberges","France",2,"Biscuits and cakes",2077,24,12,63,5.6,0.433,22,22
"Chocolate Chip Cookies","France",2,"Biscuits and cakes",2030,24.2,13.6,63.6,6.06,0.000333,20,20
"Camembert","Other",0,"Cheese",1490,32.1,14.3,0,14.3,0.429,13,18
"New York Extra Sharp Hand Selected Premium Cheddar Cheese","USA",1,"Cheese",1640,32.1,21.4,3.57,25,0.643,16,21
"Vermont Sharp Cheddar Cheese","USA",0,"Cheese",1640,32.1,21.4,3.57,25,0.643,16,21
"Hand Selected Premium Cheddar Cheese","USA",0,"Cheese",896,8.93,5.36,3.57,32.1,0.714,9,14
"Flavored Chocolate Chip Cookies - Soft Baked","USA",8,"Biscuits and cakes",2190,21.4,7.14,81,4.76,0.81,29,29
"Chocolate sponge squares with chocolate","UK",8,"Biscuits and cakes",1974,26.4,15.3,52.5,5,0.118110236220472,22,22
"Sugar free cookies chocolate chip","USA",10,"Biscuits and cakes",1960,28.1,10.9,62.5,6.25,0.422,14,14
"Basil Cheddar","USA",0,"Cheese",1640,32.1,21.4,3.57,25,0.643,16,21
"British Natural Goat's Cheese","UK",0,"Cheese",1020,20.5,13.4,3.7,11.6,0.28,11,16
"Joe-Joes","USA",3,"Biscuits and cakes",2180,28,12,64,4,0.2,22,22
"Belgian Chocolate covered Cookies","USA",5,"Biscuits and cakes",2230,30,16.7,56.7,6.67,0.117,21,21
"Organic mini cheese sandwich crackers","USA",3,"Cheese",2090,28.6,8.93,57.1,7.14,0.964,22,26
"Rosemary Ham","USA",0,"Processed meat",448,1.79,0,8.93,19.6,0.768,5,5
"Biscuits For Tea - Ginger & Lemon","UK",2,"Biscuits and cakes",2158,24.3,15.6,68.6,4.7,0.236,24,24
"6 toulouse inspired pork sausages","UK",4,"Processed meat",1292,23.7,8.8,0.5,23.9,0.579,17,17
"French camembert","UK",0,"Cheese",1151,21,14,1,21,0.590551181102362,14,19
"10 slices of mature Cheddar cheese","UK",0,"Cheese",1619,32,20.8,0.5,25.5,0.708661417322835,16,21
"Cognac Laced Christmas Pudding","UK",2,"Biscuits and cakes",1288,8.1,3.4,53.4,2.9,0.13,10,10
"austrian smoky cheese","UK",1,"Cheese",1184,24,15.9,0.5,17.4,1.08267716535433,18,23
"Mozzarella cheese ball","UK",1,"Cheese",1016,19,13,1.5,18,0.196850393700787,10,15
"mozzarella cheese ball","UK",1,"Cheese",1016,19,13,1.5,18,0.122,9,14
"16 milano salami slices","UK",2,"Processed meat",1651,32,12,1,27,1.49606299212598,24,24
"British Mature Cheddar","UK",0,"Cheese",1700,34.4,21.7,0.1,25,0.75,18,23
"swiss gruyere","UK",0,"Cheese",1714,33,19,1,28,0.6,16,21
"Brunswick ham sliced cooked and beechwood smoked ham","UK",0,"Processed meat",660,7.8,3.2,0.6,21,0.787,12,12
"12 Cumberland pork chipolatas","UK",4,"Processed meat",1103,20.1,7.1,3.8,17.1,0.582677165354331,16,16
"Alcohol Free Christmas Pudding","UK",7,"Biscuits and cakes",1278,4.4,2.1,61.4,2.8,0.102,11,11
"Shortcrust Pastry","UK",2,"Biscuits and cakes",1855,29,11.5,38.6,6,0.16,12,12
"Pyramide Décongelé X 2  Croustillant Chocolat","France",18,"Biscuits and cakes",1541,27,15,25,45,0.0523622047244094,18,18
"Craquant Décongelé Fruits Rouge X 2","France",16,"Biscuits and cakes",944,8.7,5.8,33,2.6,0.0318897637795276,13,13
"Emmental français","France",0,"Cheese",1495,28,20,0.1,27,0.275590551181102,12,17
"Comté au lait cru - Affiné 10 mois minimum ","France",0,"Cheese",1714,34,22,0.8,26,0.31496062992126,13,18
"Le  Rochebaron","France",1,"Cheese",1416,30,21,0.5,18,0.748031496062992,17,22
"Jambon cru de Pays","France",2,"Processed meat",1151,19,7.6,1,25,2.16535433070866,20,20
"Emmental au lait cru","France",0,"Cheese",1632,31,20.5,1,27.5,0.15748031496063,10,15
"Viande des Grisons","France",2,"Processed meat",818,3.4,1.4,0.5,40,1.73228346456693,13,13
"Reblochon de Savoie au lait cru (25% MG)","France",1,"Cheese",1238,25,20,0,18,0.551181102362205,14,19
"Jambon fumé supérieur","France",3,"Processed meat",479,3.7,1.29,0.6,20.1,0.905511811023622,12,12
"Biscuits p'tit dej bio","France",2,"Biscuits and cakes",1889,19.7,4.2,63.1,6.9,0.326771653543307,11,11
"Emmental","France",0,"Cheese",1551,29.5,21,0.5,27,0.251968503937008,11,16
"Saucisse de volaille","France",6,"Processed meat",847,14.2,0.3,1.5,17.4,0.590551181102362,3,3
"Fromage Frais nature","Other",1,"Cheese",293,3,2.1,4.4,6,0.09,-1,-1
"4 filled muffins - salted caramel","UK",9,"Biscuits and cakes",1624,18.9,3,49.5,4.7,0.15748031496063,10,10
"Comté AOP Bio (34 % MG) ","France",0,"Cheese",1740,34,23,0.6,27,0.5,13,18
"reblochon de savoie A.O.P.","Other",1,"Cheese",1410,28.2,19.8,0.7,19.4,0.551181102362205,13,18
"Gaufrettes aux Framboises","France",8,"Biscuits and cakes",1530,1.1,0.3,84,3.6,0.141732283464567,13,13
"Cornish Brie","UK",0,"Cheese",1456,30.7,20.7,1.7,16.9,0.394,13,18
"Le Carré (27% MG)","France",0,"Cheese",1365,27,19,0,21,0.62992125984252,15,20
"Milton's Original Multi-grain baked crackers","UK",0,"Biscuits and cakes",1735,16.6,1.2,56.9,7.3,0.590551181102362,8,8
"Fromage fondu - Le petit crémeux","Other",5,"Cheese",1120,20,13.3,3.33,13.3,1.2,18,23
"Raspberry, White Chocolate and Pistachio Crumbles","France",7,"Biscuits and cakes",1824,21.9,12,52.1,6,0.31496062992126,23,23
"Choc Chunk Shortbread","France",1,"Biscuits and cakes",2231,30.1,19.1,58.4,6.4,0.3,22,22
"Fine fleur aux quatre fruits","Other",1,"Biscuits and cakes",1350,14.8,6.09,42.6,4.35,0.209,14,14
"Sponge Cake Dessert Shells","USA",9,"Biscuits and cakes",1050,0,0,58.3,4.17,0.521,16,16
"Pim's Orange","Other",8,"Biscuits and cakes",1670,12,6,68,4,0.14,20,20
"Petit Ecolier milk chocolate","USA",2,"Biscuits and cakes",2180,24,14,68,8,0.22,21,21
"Palets aux Perles de Chocolat","France",5,"Biscuits and cakes",2210,29.1,19.1,60,7.27,0.291,19,19
"Colossal Chocolate Chip Cookie","USA",1,"Biscuits and cakes",1670,13.3,7.5,66.7,5,0.225,18,18
"Aveia Original 58% de Cereais","Other",3,"Biscuits and cakes",2030,16.5,7.5,75.5,6.7,0.531496062992126,20,20
"The complete cookie peanut butter","USA",4,"Biscuits and cakes",1480,12.3,2.65,47.6,14.1,0.511,10,10
"White chocolate macadamia","USA",4,"Biscuits and cakes",1330,10.6,2.65,42.3,14.1,0.388,8,8
"Quest Bar Cookies & Cream","USA",5,"Biscuits and cakes",1260,11.7,5,36.7,35,0.517,7,7
"Choco Stix","Other",3,"Biscuits and cakes",2090,23.3,13.3,63.3,6.67,0.25,22,22
"Grana Padano gerieben","Germany",0,"Cheese",1634,29,18,0,33,0.590551181102362,15,20
"Crispy Oatmeal Granola Cookies","USA",2,"Biscuits and cakes",1930,19.2,0,69.2,3.85,0.385,9,9
"St Endellion Cornish Brie","UK",0,"Cheese",1566,35.2,22.9,0.1,15.4,0.669,16,21
"Black & White Cookie","USA",14,"Biscuits and cakes",1590,17.4,3.26,53.2,4.34,0.282,17,17
"Lemon Puff","France",5,"Biscuits and cakes",1850,14.8,7.9,67,9.5,0.433070866141732,12,12
"Plain Double Whipped Shmear","USA",2,"Cheese",1460,35,22.5,5,5,0.325,15,18
"Twinkies","USA",11,"Biscuits and cakes",1470,11.7,5.84,59.7,2.6,0.468,23,23
"Sharp Cheddar","USA",0,"Cheese",1720,35.7,25,0,25,0.643,17,22
"Classic Fudge Brownie","USA",1,"Biscuits and cakes",1770,25.4,15.5,46.6,5.64,0.0282,23,23
"Brown sugar blondie","USA",0,"Biscuits and cakes",1890,22.6,14.1,59.3,5.64,0.0353,23,23
"Siggi's Orange & Ginger 0% Milk-fat Icelandic Style Skyr","USA",1,"Cheese",334,0,0,7.99,11.3,0.0366,-4,-4
"Tårta Mörk Choklad","Germany",0,"Biscuits and cakes",1800,25,11,38,12,0.137795275590551,22,22
"Les Surgelés - Fondant au Chocolat ","France",2,"Biscuits and cakes",1967,31.8,23,40.4,4.9,0.0236220472440945,21,21
"10 tranches, Saucisson sec supérieur pur porc","France",3,"Processed meat",1557,30.9,12.4,1,22.9,1.8,24,24
"Madeleines amande","France",4,"Biscuits and cakes",2176,29.6,12.5,57.4,5.4,0.326771653543307,25,25
"L'Original Tartare, Ail & Fines Herbes (12 Portions) - (32,2 % MG)","France",0,"Cheese",1400,32,22,3.33,9.33,0.394,13,18
"Pepparkaka","France",3,"Biscuits and cakes",1946,17,8.5,72,5.4,0.47244094488189,25,25
"Brownie au chocolat et aux noisettes","France",4,"Biscuits and cakes",2029,30,5.1,45,7.2,0.21259842519685,20,20
"Pepparkaka citrus","France",3,"Biscuits and cakes",1907,15,7.7,74,5.4,0.433070866141732,23,23
"Galettes doubles au chocolat","France",6,"Biscuits and cakes",2117,26,14,61,5.2,0.248031496062992,27,27
"Pepparkakor","UK",3,"Biscuits and cakes",1949,17,8.5,72,5.3,0.551,26,26
"palmier pur beurre","France",0,"Biscuits and cakes",2004,19.3,12.3,67.5,8.1,0.42,22,22
"Chorizo Supérieur Fort [même code barre 26013077 que Chorizo Supérieur Doux, voir 26013077]","France",2,"Processed meat",1890,38.5,14.3,4.9,21.5,1.77165354330709,25,25
"Sainsbury's Grated Parmesan","UK",0,"Cheese",1612,28.4,18.7,0,33,0.65,16,21
"Sainsbury's 12 Year Old Oloroso Sherry","UK",0,"Alcoholic beverages",636,0,0,11.7,0.2,0.9,20,10
"Mambelli Casatella di Romagna","Other",0,"Cheese",924,19,13,1.8,12,0.276,15,15
"Pepito pepites","Other",7,"Biscuits and cakes",1850,24,11,50,5,0.328,20,20
"Bière blonde","France",0,"Alcoholic beverages",146,0,0,2.5,0.4,0.0118110236220472,6,0
"Crema de calabaza","Spain",0,"Soups",187,2.5,0.4,3.3,1,0.366141732283465,4,4
"Rondelé Ail de Garonne & Fines herbes (30% MG)","France",0,"Cheese",1253,30,21,2.4,6,0.433070866141732,14,17
"Feine gemischte Nürnberger Oblaten-Lebkuchen","Germany",4,"Biscuits and cakes",1610,11.5,2.9,60.8,7.7,0.118110236220472,10,10
"Biscuit chocolat céréales","France",4,"Biscuits and cakes",1824,16,7.5,46,23,0.385826771653543,14,14
"Schweizer Käse-Fondue Klassisch","Germany",1,"Cheese",1025,17,10,3,15,0.433070866141732,11,16
"Donut choco-noisette","France",0,"Biscuits and cakes",2078,31,16,48,4.9,0.196850393700787,20,20
"Petit Beurre","Switzerland",2,"Biscuits and cakes",1980,15,3.5,77,6,0.354330708661417,13,13
"Gruyère surchoix","Switzerland",0,"Cheese",1640,32,19,0,27,0.590551181102362,15,20
"Fromage frais aux herbes","Switzerland",5,"Cheese",1197,28,18,4.5,4.5,0.551181102362205,16,18
"Velouté de Tomates ","France",0,"Soups",161,0.5,0.4,7.4,0.6,0.28740157480315,3,3
"Velouté de Carottes à la crème","France",0,"Soups",136,0.9,0.5,5,0.6,0.28740157480315,3,3
"Cheesecake","France",10,"Biscuits and cakes",878,6.2,2.7,30.5,7.2,0.110236220472441,4,4
"Les pâtés de Léo et Léa","France",3,"Processed meat",1331,30,10,4.2,9.3,0.669291338582677,19,19
"Emmental Français","France",0,"Cheese",1532,29,21,0,27,0.196850393700787,11,16
"Skyr Aprikose-Sanddornbeere","Germany",0,"Cheese",310,0.3,0.1,8.7,8.9,0.0196850393700787,-4,-4
"Vacherin Mont-d'Or","Switzerland",0,"Cheese",1220,24,15,0.5,19,0.590551181102362,14,19
"Biscino Chocolat Noir","France",3,"Biscuits and cakes",2054,23.3,14.8,60.5,6.9,0.149606299212598,23,23
"Cookies Noisettes & Chocolat Noir","Other",2,"Biscuits and cakes",2243,31,13,56,6,0.318897637795276,25,25
"Mini éclairs, chocolat/café - Coup de Coeur","France",5,"Biscuits and cakes",1167,14.1,8.8,32.1,4.9,0.244094488188976,17,17
"Grana Padano (28% MG)","France",1,"Cheese",1654,29,18,0,33,0.590551181102362,15,20
"Speisequark Magerstufe","Germany",0,"Cheese",285,0.2,0.1,4.3,12,0.0393700787401575,-5,-5
"Speisequark 20% Fett i. Tr.","Germany",0,"Cheese",427,4.5,3,4.3,11,0.0393700787401575,-2,-2
"Speisequark 40% Fett i. Tr.","Germany",0,"Cheese",596,10,6.6,4.3,9,0.0393700787401575,2,2
"Cottage Cheese","Other",0,"Cheese",410,4.5,3,2.8,11.5,0.295275590551181,1,1
"Hirtenkäse","Germany",0,"Cheese",1117,21,15.1,1,19,1.14173228346457,18,23
"Mozzarella","France",1,"Cheese",1050,19,13,1.2,19,0.236220472440945,10,15
"Emmentaler am Stück","Germany",0,"Cheese",1612,29.5,21,0.1,30.5,0.31496062992126,12,17
"Gouda jeune","France",3,"Cheese",1492,30,21.3,0,23,0.818897637795276,18,23
"Sprits pur beurre ","France",0,"Biscuits and cakes",2304,31,21,62,4.9,0.0708661417322835,18,18
"Spirits","France",0,"Biscuits and cakes",2304,31,21,62,4.9,0.07,18,18
"Gaufrettes roulées au chocolat au lait","France",2,"Biscuits and cakes",2230,29.4,20.3,60.3,5.9,0.18503937007874,26,26
"Soft Cake Framboise","France",7,"Biscuits and cakes",1595,11.2,6.4,64.9,3.6,0.114173228346457,21,21
"Génoise cerise","France",7,"Biscuits and cakes",1624,10.8,6.1,67.6,3.4,0.1,18,18
"Soft-Biscuit","Other",6,"Biscuits and cakes",1605,11.3,6.3,65.4,3.6,0.0944881889763779,21,21
"Croque Monsieur fondant (23 % MG) 10 tranches","France",3,"Cheese",1174,23,15.2,5,14,1.45,19,24
"Schnittlauch","Germany",3,"Cheese",1239,28.1,17.9,2.6,8.7,0.275590551181102,11,16
"Frischkäse Kräuter","Germany",0,"Cheese",1005,23.5,15,3.2,4.4,0.47244094488189,15,17
"Frischkäse","Germany",0,"Cheese",1039,24.5,15.6,3,4.5,0.31496062992126,14,16
"cream cheese with herbs","UK",1,"Cheese",991,22.5,15.7,3.5,5.6,0.531496062992126,14,17
"Dés de Jambon","France",2,"Processed meat",498,4.5,1.8,2.5,17,0.75,5,5
"Saucisse de Lyon en tranches","France",4,"Processed meat",1092,23,8,1,13,0.78740157480315,18,18
